"ticker","market","price","above_cloud","bull_cloud","MA50_diff","RS_1m","RS_3m","Momentum","TrendLabel","updated_at"
"AMAT","US",357.760009765625,TRUE,TRUE,11.7775773086083,8.56300388306019,33.9579725720426,81.9796954314721,"Trend intact","2026-03-05"
"JCI","US",140,TRUE,TRUE,10.679285914402,12.9620654787399,19.7232148289007,81.7258883248731,"Trend intact","2026-03-05"
"WAB","US",260.790008544922,TRUE,TRUE,9.7511434327867,10.9720057349694,22.305734073946,81.3451776649746,"Trend intact","2026-03-05"
"RR","UK",1363,TRUE,TRUE,8.44054069105981,9.82124062678684,26.4714787071664,81.2182741116751,"Trend intact","2026-03-05"
"TGT","US",120.080001831055,TRUE,TRUE,10.7740918985573,9.19597293830954,27.3350449985399,80.9644670050761,"Trend intact","2026-03-05"
"TXT","US",99.3099975585938,TRUE,TRUE,5.92207754720978,12.5922001559581,19.1526999067324,80.0761421319797,"Trend intact","2026-03-05"
"ALGN","US",182.160003662109,TRUE,TRUE,5.19872261839869,10.7277630577917,21.6359425031185,79.4416243654822,"Trend intact","2026-03-05"
"LHX","US",368.75,TRUE,TRUE,9.15505226930943,8.04676854108184,30.3141035373388,79.3147208121827,"Trend intact","2026-03-05"
"CCH","UK",4566,TRUE,TRUE,8.86462257403081,11.5486069921291,19.3155326384471,79.0609137055838,"Trend intact","2026-03-05"
"OXIG","UK",2675,TRUE,TRUE,11.0603670181848,7.97312297080843,30.6931581717908,79.0609137055837,"Trend intact","2026-03-05"
"CSX","US",42.7799987792969,TRUE,TRUE,10.9543392814693,10.827368200583,20.5017581697479,79.0609137055837,"Trend intact","2026-03-05"
"RSW","UK",4150,TRUE,TRUE,7.46005852041741,11.6127779842442,18.76368628573,78.6802030456853,"Trend intact","2026-03-05"
"PSX","US",164.720001220703,TRUE,TRUE,13.4335276096334,14.6731259745734,16.4320443608775,78.5532994923858,"Trend intact","2026-03-05"
"ROST","US",213.520004272461,TRUE,TRUE,11.4695924157979,11.6127669891868,18.475991619045,78.1725888324873,"Trend intact","2026-03-05"
"VTRS","US",14.710000038147,TRUE,TRUE,6.20631944881007,7.25926027040389,31.8283813564442,77.2842639593909,"Trend intact","2026-03-05"
"EOG","US",127.819999694824,TRUE,TRUE,13.8878694597736,16.4702652381212,15.2782509350169,77.1573604060914,"Trend intact","2026-03-05"
"CBOE","US",300.619995117188,TRUE,TRUE,10.8037102183092,13.0200914664234,16.3486015274438,77.0304568527919,"Trend intact","2026-03-05"
"HON","US",245.970001220703,TRUE,TRUE,10.4157167362613,7.77956530851887,25.7028278767446,76.0152284263959,"Trend intact","2026-03-05"
"XOM","US",149.820007324219,TRUE,TRUE,9.58403711792172,7.92866233235037,25.04281152531,75.8883248730965,"Trend intact","2026-03-05"
"BRWM","UK",990,TRUE,TRUE,5.38866060593157,5.82285048997928,33.9507140316367,75,"Trend intact","2026-03-05"
"ADI","US",341.510009765625,TRUE,TRUE,9.14866183707426,7.49170000375168,24.7965186757724,74.3654822335025,"Trend intact","2026-03-05"
"LYV","US",158.639999389648,TRUE,TRUE,6.74001460438384,9.72409173232052,19.0677043038304,74.3654822335025,"Trend intact","2026-03-05"
"HTWS","UK",193.800003051758,TRUE,TRUE,9.02463096882351,9.18075477389939,19.666546096266,74.1116751269035,"Trend intact","2026-03-05"
"BGEO","UK",11150,TRUE,TRUE,12.9159662163531,8.90517776159037,19.7139319779653,73.4771573604061,"Trend intact","2026-03-05"
"DG","US",151.600006103516,TRUE,TRUE,3.65061182673534,5.48408325633094,32.6783253494935,73.2233502538071,"Trend intact","2026-03-05"
"LMT","US",664.47998046875,TRUE,TRUE,13.1205741002862,4.38061871490358,41.4072623664473,73.2233502538071,"Trend intact","2026-03-05"
"SW","US",45.189998626709,TRUE,TRUE,3.83492714448873,7.41590313248741,23.7126603371964,73.0964467005076,"Trend intact","2026-03-05"
"LIN","US",499.190002441406,TRUE,TRUE,9.04287675983556,8.1412526643061,20.3829647076257,72.7157360406091,"Trend intact","2026-03-05"
"ANTO","UK",4045,TRUE,TRUE,9.9358050997168,4.47439729194077,37.8273284629614,72.7157360406091,"Trend intact","2026-03-05"
"UNP","US",266.700012207031,TRUE,TRUE,9.46955164123489,12.5560736210582,14.2149535350111,72.4619289340101,"Trend intact","2026-03-05"
"MCK","US",978.710021972656,TRUE,TRUE,11.6715258552723,14.5113374077008,13.2925827737137,72.0812182741117,"Trend intact","2026-03-05"
"KIM","US",23.5599994659424,TRUE,TRUE,9.86038768971248,12.315608450522,13.9613385035013,71.7005076142132,"Trend intact","2026-03-05"
"PNW","US",102.98999786377,TRUE,TRUE,9.97565137324572,11.6109529412978,14.2406451840294,71.5736040609137,"Trend intact","2026-03-05"
"MPC","US",220.770004272461,TRUE,TRUE,19.8622719870147,22.1480305578229,11.8292768106802,71.1928934010152,"Trend intact","2026-03-05"
